Index,Continent,Companycountry,Metal,Mine,Status
553,Europe,UK,Au,Modikwa,"Operating, exp/feasib"
554,Europe,UK,Ni,Modikwa,"Operating, exp/feasib"
555,Europe,UK,PGM,Modikwa,"Operating, exp/feasib"
556,Europe,UK,Cu,Mogalakwena,Operating
557,Europe,UK,Au,Mogalakwena,Operating
558,Europe,UK,Ni,Mogalakwena,Operating
559,Europe,UK,PGM,Mogalakwena,Operating
560,Oceania,Australia,Au,Mogale,Operating
561,Oceania,Australia,Coal,Mooiplaats,Operating
562,Europe,UK,Cu,Mototolo,Operating
563,Europe,UK,Au,Mototolo,Operating
564,Europe,UK,Ni,Mototolo,Operating
565,Europe,UK,PGM,Mototolo,Operating
566,Africa,South Africa,Au,Mponeng,"Operating, exp/plans"
567,Africa,South Africa,Au,Mpumalanga,Suspended
568,Africa,South Africa,Au,Mvelaphanda,Active
569,Africa,South Africa,Ti,Namakwa,Operating
570,Africa,South Africa,Zr,Namakwa,Operating
571,Europe,UK,Dia,Namaqualand,Suspended
572,Africa,South Africa,Coal,New,Operating
573,Europe,UK,Coal,New,Operating
574,Europe,UK,Coal,New,"Operating, exp/feasib"
575,Africa,South Africa,Au,Nigel,Operating
576,Africa,South Africa,Coal,Nkomati,Suspended
577,Africa,South Africa,Cr,Nkomati,"Operating, exp/plans"
578,Africa,South Africa,Co,Nkomati,"Operating, exp/plans"
579,Africa,South Africa,Cu,Nkomati,"Operating, exp/plans"
580,Africa,South Africa,Au,Nkomati,"Operating, exp/plans"
581,Africa,South Africa,Ni,Nkomati,"Operating, exp/plans"
582,Africa,South Africa,PGM,Nkomati,"Operating, exp/plans"
583,Europe,UK,Coal,Nooitgedacht,Operating
584,Africa,South Africa,Coal,North,Operating
585,Africa,South Africa,Au,North,Operating
586,Africa,South Africa,Cu,Northam,Operating
587,Africa,South Africa,Au,Northam,Operating
588,Africa,South Africa,Ni,Northam,Operating
589,Africa,South Africa,PGM,Northam,Operating
590,Asia,China,Cu,O'Okiep,Closed
591,Asia,China,Au,O'Okiep,Closed
592,Asia,China,Ag,O'Okiep,Closed
593,Africa,South Africa,Au,Omaruru,Suspended
594,Europe,Switzerland,Coal,Optimum,"Operating, exp/constr"
595,Asia,Hong Kong,Au,Orkney,Operating
596,Africa,South Africa,Au,Oryx,Operating
597,Africa,South Africa,Au,Ospray,Active
598,Africa,South Africa,Coal,Paardeplaats,Operating
599,Europe,UK,Cu,Palabora,Closed
600,Europe,UK,Au,Palabora,Closed
601,Europe,UK,Fe,Palabora,Closed
602,Europe,UK,PGM,Palabora,Closed
603,Europe,UK,Ag,Palabora,Closed
604,Europe,UK,Ti,Palabora,Closed
605,Europe,UK,U,Palabora,Closed
606,Europe,UK,Zr,Palabora,Closed
607,Europe,UK,Cu,Palabora,Operating
608,Europe,UK,Ag,Palabora,Operating
609,North America,Canada,Dia,Palmietgat,Operating
610,Europe,UK,Cu,Pandora,Operating
611,Europe,UK,Au,Pandora,Operating
612,Europe,UK,Ni,Pandora,Operating
613,Europe,UK,PGM,Pandora,Operating
614,Oceania,Australia,Pb,Pering,Closed
615,Oceania,Australia,Zn,Pering,Closed
616,Africa,South Africa,Au,Petrex,Operating
617,Africa,South Africa,Au,Phakisa,Operating
618,Europe,Switzerland,Coal,Phoenix,Operating
619,Africa,South Africa,Cu,Phosphate,Active
620,Africa,South Africa,PO43,Phosphate,Active
621,Africa,South Africa,Ag,Phosphate,Active
622,Africa,South Africa,Zr,Phosphate,Active
623,Africa,South Africa,Coal,Polmaise,Operating
624,Africa,South Africa,Au,President,Operating
625,Africa,South Africa,Cu,Prieska,Active
626,Africa,South Africa,Zn,Prieska,Active
627,Africa,South Africa,Au,Primrose,Operating
628,North America,Canada,Dia,Quaggas,Operating
629,Africa,South Africa,Au,Rand,Closed
630,Oceania,Australia,Au,Randfontein,Operating
631,Africa,South Africa,Dia,Reuning,Operating
632,Europe,Switzerland,V,Rhovan,Operating
633,Europe,UK,Ti,Richards,Operating
634,Europe,UK,Zr,Richards,Operating
635,Oceania,Australia,Coal,Rietspruit,Closed
636,Africa,South Africa,Cr,Rustenburg,Operating
637,Europe,UK,Co,Rustenburg,Active
638,Europe,UK,Cu,Rustenburg,Active
639,Europe,UK,Au,Rustenburg,Active
640,Europe,UK,Ni,Rustenburg,Active
641,Europe,UK,PGM,Rustenburg,Active
642,Europe,UK,Co,Rustenburg,"Operating, exp/plans"
643,Europe,UK,Cu,Rustenburg,"Operating, exp/plans"
644,Europe,UK,Au,Rustenburg,"Operating, exp/plans"
645,Europe,UK,Ni,Rustenburg,"Operating, exp/plans"
646,Europe,UK,PGM,Rustenburg,"Operating, exp/plans"
647,Europe,UK,Cu,Rustenburg,Operating
648,Europe,UK,Au,Rustenburg,Operating
649,Europe,UK,Ni,Rustenburg,Operating
650,Europe,UK,PGM,Rustenburg,Operating
651,Africa,South Africa,Mn,Ryedale,Operating
652,Africa,South Africa,Au,Sable/Kudu,Closed
653,Africa,South Africa,Au,Saint,Closed
654,Europe,UK,Cr,Samancor,Operating
655,Oceania,Australia,PO43,Samancor,Active
656,Africa,South Africa,Coal,Savmore,Operating
657,Africa,South Africa,Au,Savuka,Operating
658,North America,Canada,Dia,Saxendrift,"Operating, exp/feasib"
659,Africa,South Africa,Coal,Shanduka,Operating
660,Africa,South Africa,Coal,Sigma,Operating
661,Europe,UK,Cu,Siphumelele,Operating
662,Europe,UK,Au,Siphumelele,Operating
663,Europe,UK,Ni,Siphumelele,Operating
664,Europe,UK,PGM,Siphumelele,Operating
665,Europe,UK,Fe,Sishen,"Operating, exp/plans"
666,Africa,South Africa,Au,Skukuza,Operating
667,North America,Canada,Dia,So,Operating
668,Africa,South Africa,Coal,Somkhele,"Operating, exp/constr"
669,Europe,UK,Dia,South,Operating
670,Africa,South Africa,Au,South,"Operating, exp/plans"
671,Africa,South Africa,U,South,"Operating, exp/plans"
672,Europe,Switzerland,Coal,South,Operating
673,Africa,South Africa,Coal,Spitzkop,Operating
674,Africa,South Africa,Coal,Springlake,Operating
675,Africa,South Africa,Au,Stanhope,Active
676,Africa,South Africa,Au,Stilfontein,Closed
677,Africa,South Africa,U,Stilfontein,Closed
678,Africa,South Africa,Coal,Syferfontein,Operating
679,Africa,South Africa,Au,Target,Operating
680,Africa,South Africa,Au,Tau,Operating
681,Africa,South Africa,Au,Tautona,"Operating, exp/plans"
682,Europe,Switzerland,Coal,Tavistock,Operating
683,Europe,UK,Fe,Thabazimbi,Operating
684,Europe,UK,Dia,The,Closed
685,Europe,UK,Cu,Thembelani,"Operating, exp/plans"
686,Europe,UK,Au,Thembelani,"Operating, exp/plans"
687,Europe,UK,Ni,Thembelani,"Operating, exp/plans"
688,Europe,UK,PGM,Thembelani,"Operating, exp/plans"
689,Europe,Switzerland,Cr,Thorncliffe,"Operating, exp/plans"
690,Africa,South Africa,Dia,Trans,Operating
691,Asia,Russia,V,Transvaal,Active
692,Africa,South Africa,Coal,Tselentis,Operating
693,Africa,South Africa,Au,Tshepong,"Operating, exp/constr"
694,Africa,South Africa,Coal,Tshikondeni,Operating
695,Europe,UK,Cu,Tumela,Operating
696,Europe,UK,Au,Tumela,Operating
697,Europe,UK,Ni,Tumela,Operating
698,Europe,UK,PGM,Tumela,Operating
699,Europe,Switzerland,Coal,Tweefontein,"Operating, exp/feasib"
700,Europe,Switzerland,Coal,Tweefontein,Operating
701,Europe,UK,Au,Twickenham,"Operating, exp/plans"
702,Europe,UK,Ni,Twickenham,"Operating, exp/plans"
703,Europe,UK,PGM,Twickenham,"Operating, exp/plans"
704,Africa,South Africa,Coal,Twistdraai,Operating
705,Africa,South Africa,Au,Two,Operating
706,Africa,South Africa,Ni,Two,Operating
707,Africa,South Africa,PGM,Two,Operating
708,Europe,Switzerland,Coal,Umcebo,Operating
709,Asia,India,Coal,Umlabu,Operating
710,North America,USA,Cr,Union,Non-active
711,Europe,UK,Cu,Union,Operating
712,Europe,UK,Au,Union,Operating
713,Europe,UK,Ni,Union,Operating
714,Europe,UK,PGM,Union,Operating
715,Africa,South Africa,Au,Unisel,Operating
716,Africa,South Africa,Au,Vaal,Operating
717,Africa,South Africa,U,Vaal,Operating
718,Asia,Russia,V,Vametco,Active
719,Oceania,Australia,Coal,Vele,Operating
720,Europe,UK,Dia,Venetia,"Operating, exp/feasib"
721,Africa,South Africa,Au,Venterspost,Closed
722,Africa,South Africa,Ag,Venterspost,Closed
723,Africa,South Africa,Au,Virginia,Operating
724,Africa,South Africa,Au,Vlakfontein,Closed
725,Oceania,Australia,Coal,Vlakvarkfontein,Operating
726,Europe,UK,Dia,Voorspoed,Operating
727,Europe,Switzerland,Coal,Waterpan,Operating
728,Europe,Switzerland,Cr,Waterval,Operating
729,Africa,South Africa,Coal,Welgedacht,Operating
730,Asia,Hong Kong,Au,Welkom,Suspended
731,Oceania,Australia,Coal,Wesselton,Closed
732,Africa,South Africa,Au,West,Operating
733,Africa,South Africa,Ag,West,Operating
734,Africa,South Africa,U,West,Operating
735,Africa,South Africa,Au,West,Closed
736,Oceania,Australia,Au,West,Closed
737,Europe,UK,Cu,Western,Operating
738,Europe,UK,Au,Western,Operating
739,Europe,UK,Ni,Western,Operating
740,Europe,UK,PGM,Western,Operating
741,Africa,South Africa,Au,Winkelhaak,Suspended
742,Europe,Switzerland,Coal,Witcons,Operating
743,Africa,South Africa,Au,Witwatersrand,Non-active
744,Oceania,Australia,Coal,Woestalleen,Operating
745,Oceania,Australia,Coal,Wolvekrans,Operating
746,North America,Canada,Dia,Wouterspan,"Susp, restart/plans"
747,Africa,South Africa,Sn,Zaaiplaats,Active
748,Africa,South Africa,Cr,Zeerust,Active
749,Europe,UK,Coal,Zibulo,Operating
750,Europe,UK,Coal,Zululand,Operating
751,Africa,Algeria,Au,Amesmessa,Operating
752,Europe,UK,Fe,Bou,Operating
753,Africa,Algeria,Fe,Chaeet,Suspended
754,Africa,Algeria,Pb,El,Operating
755,Africa,Algeria,Zn,El,Operating
756,Africa,Algeria,Cu,Enof,Active
757,Africa,Algeria,Pb,Enof,Active
758,Africa,Algeria,Hg,Enof,Active
759,Africa,Algeria,Ag,Enof,Active
760,Africa,Algeria,Zn,Enof,Active
761,Europe,UK,Fe,Ouenza,Operating
762,Africa,Algeria,Fe,St,Active
763,Africa,Algeria,Au,Tirek,"Operating, exp/plans"
764,Africa,Mauritania,Au,Akjoujt,Operating
765,Africa,Mauritania,Fe,Guelb,"Operating, exp/plans"
766,North America,Canada,Cu,Guelb,Operating
767,North America,Canada,Au,Guelb,Operating
768,Africa,Mauritania,Fe,Kedia,Operating
769,Africa,Mauritania,Fe,M'Haoudat,Operating
770,Africa,Mauritania,Fe,SNIM,Operating
771,North America,Canada,Au,Tasiast,"Operating, exp/constr"
772,Africa,Sudan,Au,Hassai,"Operating, exp/constr"
773,Africa,Sudan,Cr,Ingessana,Operating
774,Africa,Morocco,Cr,Cie,Active
775,Africa,Morocco,Co,Bouazzer,Operating
776,Africa,Morocco,Cu,St,Active
777,Africa,Morocco,Cu,Bleida,Operating
778,Africa,Morocco,Cu,Hajar,Operating
779,Africa,Morocco,Cu,Akka,"Operating, exp/plans"
780,Africa,Morocco,Au,Akka,"Operating, exp/plans"
781,Africa,Morocco,Fe,St,Active
782,Africa,Morocco,Pb,St,Active
783,Africa,Morocco,Pb,St,
784,Africa,Morocco,Pb,Hajar,Operating
785,Africa,Morocco,Pb,Draa,Operating
786,Africa,Morocco,Mn,Imini,Operating
787,Africa,Morocco,PO43,Office,Active
788,Africa,Morocco,Ag,St,Active
789,Africa,Morocco,Ag,Imiter,Operating
790,Africa,Morocco,Ag,Cie,Active
791,Africa,Morocco,Zn,St,Active
792,Africa,Morocco,Zn,St,
793,Africa,Morocco,Zn,Hajar,Operating
794,Africa,Morocco,Zn,Draa,Operating
795,Europe,Switzerland,Cu,Touissit,Closed
796,Europe,Switzerland,Pb,Touissit,Closed
797,Europe,Switzerland,Pb,Tighza,Operating
798,Europe,Switzerland,Ag,Touissit,Closed
799,Europe,Switzerland,Ag,Tighza,Operating
800,Europe,Switzerland,Zn,Tighza,Operating
801,Europe,Belgium,Pb,Bougrine,"Closed, reclamation"
802,Europe,Belgium,Zn,Bougrine,"Closed, reclamation"
803,Africa,Tunisia,PO43,Cie,Active
804,Africa,Tunisia,Fe,Djebel,Operating
805,Europe,Switzerland,Pb,Fej,"Susp, restart/plans"
806,Europe,Switzerland,Zn,Fej,"Susp, restart/plans"
807,Africa,Tunisia,Fe,St,Operating
808,Africa,Tunisia,Fe,Tamera,Operating
809,Africa,Egypt,Fe,El,Operating
810,Africa,Egypt,Coal,El,Operating
811,Africa,Egypt,PO43,El,Active
812,Oceania,Australia,Au,Sukari,"Operating, exp/plans"
