Latitude,Longitude,country,shortname
,,Nigeria,Bisichi
,,Nigeria,Consolidated
,,Nigeria,Consolidated
,,Nigeria,Ex-Lands
,,Nigeria,Gold
,,Nigeria,Gold
7.95,6.2333,Nigeria,Itakpe
,,Nigeria,Nigerian
17.7833,7.3833,Nigeria,Tefereyre
,,Rwanda,Regie
-1.9,30.0667,Rwanda,Sté
-1.9,30.0667,Rwanda,Sté
,,Senegal,Cie
,,Senegal,Douta
,,Senegal,Sabodala
,,Senegal,Thies
8.7,-11.9667,Sierra Leone,Marampa
,,Sierra Leone,National
,,Sierra Leone,National
7.9167,-12.1667,Sierra Leone,Sierra
7.735,-12.295,Sierra Leone,Sierra
7.896,-12.084,Sierra Leone,SML
-26.15,31.5833,Swaziland,Dokolwayo
-27.05,31.6833,Swaziland,Maloma
,,Swaziland,Swaziland
-3.8,32.6,Tanzania,Bulyanhulu
-3.855,32.655,Tanzania,Buzwagi
-2.9167,32.0833,Tanzania,Geita
-4.1333,33.1667,Tanzania,Golden
-8.364,32.97,Tanzania,New
-1.65,34.4389,Tanzania,North
,,Tanzania,State
-3.3667,31.65,Tanzania,Tulawaka
-3.55,33.6,Tanzania,Williamson
-3.55,33.6,Tanzania,Williamson
,,Togo,Cie
6.3833,1.4167,Togo,Office
-1.1625,29.8011,Uganda,Bjordal
,,Uganda,Kilembe
,,Uganda,Uganda
-13.03,28.3833,Zambia,Baluba
-13.0228,28.6911,Zambia,Bwana
-12.6556,28.0458,Zambia,Chambishi
-12.8283,28.1056,Zambia,Chibuluma
-12.8283,28.1056,Zambia,Chibuluma
-13,28.1,Zambia,Chibuluma
-15.1667,27.2,Zambia,Dunrobin
-12.1,26.4333,Zambia,Kansanshi
-12.1,26.4333,Zambia,Kansanshi
-12.1,26.4333,Zambia,Kansanshi
-12.3,27.75,Zambia,Konkola
-13.1381,28.3908,Zambia,Luanshya
-12.3883,27.95,Zambia,Lubambe
-11.8333,25.15,Zambia,Lumwana
-12.535,28.237,Zambia,Mufulira
-12.5458,28.2333,Zambia,Mufulira
,,Zambia,Nchanga
,,Zambia,Nchanga
,,Zambia,Nchanga
,,Zambia,Nchanga
,,Zambia,Nchanga
,,Zambia,Nchanga
-12.5,27.85,Zambia,Nchanga
-12.5,27.85,Zambia,Nchanga
-12.5,27.85,Zambia,Nchanga
-12.8417,28.2083,Zambia,Nkana
-12.8417,28.2083,Zambia,Nkana
,,Zambia,Roan
,,Zambia,Roan
,,Zambia,Roan
,,Zambia,Roan
-14.459,28.437,Zambia,Sable
-14.459,28.437,Zambia,Sable
-12.8333,28,Zambia,ZCCM
-12.8333,28,Zambia,ZCCM
-12.8333,28,Zambia,ZCCM
-12.8333,28,Zambia,ZCCM
-12.8333,28,Zambia,ZCCM
-12.8333,28,Zambia,ZCCM
,,Zimbabwe,Aardcor
-17.7792,31.3458,Zimbabwe,Arcturus
-19.2958,30.5194,Zimbabwe,Athens
,,Zimbabwe,Attica
-19.95,31.4333,Zimbabwe,Bikita
-17.3333,31.35,Zimbabwe,Bindura
-17.3333,31.35,Zimbabwe,Bindura
-17.3333,31.35,Zimbabwe,Bindura
-17.3333,31.35,Zimbabwe,Bindura
-17.3333,31.35,Zimbabwe,Bindura
-17.3333,31.35,Zimbabwe,Bindura
-20.8333,28.5769,Zimbabwe,Blanket
-20.6237,30.3243,Zimbabwe,Buchwa
-18.3333,29.9806,Zimbabwe,Cam
-19.65,30.0167,Zimbabwe,Camperdown
-19.2,29.8083,Zimbabwe,Connemara
,,Zimbabwe,"Cooperatives,"
,,Zimbabwe,"Cooperatives,"
,,Zimbabwe,Corsyn
,,Zimbabwe,Corsyn
-18.0556,29.8458,Zimbabwe,Dalny
-19.0333,31.75,Zimbabwe,Dorowa
-18.8472,29.7375,Zimbabwe,Elvington
,,Zimbabwe,Empress
,,Zimbabwe,Empress
-20.4333,30.35,Zimbabwe,Epoch
-20.4333,30.35,Zimbabwe,Epoch
-20.4333,30.35,Zimbabwe,Epoch
-16.6667,30.7417,Zimbabwe,Eureka
,,Zimbabwe,Forbes
-20.9333,28.8,Zimbabwe,Freda
-17.3147,31.3461,Zimbabwe,Freda
-17.5,30.0389,Zimbabwe,Golden
-19.675,30,Zimbabwe,Golden
-18.075,30.45,Zimbabwe,Hartley
-18.075,30.45,Zimbabwe,Hartley
-18.075,30.45,Zimbabwe,Hartley
-18.075,30.45,Zimbabwe,Hartley
-20.25,28.7333,Zimbabwe,How
-18.3941,26.4275,Zimbabwe,Hwange
-18.396,26.44,Zimbabwe,Hwange
-18.8333,29.8167,Zimbabwe,Indarama
-18.35,30.1583,Zimbabwe,Inez
-18.8833,29.0833,Zimbabwe,Jena
-18.6333,26.8333,Zimbabwe,Kamativi
-18.6333,26.8333,Zimbabwe,Kamativi
-18.6333,26.8333,Zimbabwe,Kamativi
-17,31.66,Zimbabwe,Madziwa
-17,31.66,Zimbabwe,Madziwa
-17,31.66,Zimbabwe,Madziwa
-19.5767,29.25,Zimbabwe,Maligreen
-17.5,30.925,Zimbabwe,Mazowe
,,Zimbabwe,Merits
,,Zimbabwe,Messina
,,Zimbabwe,Metallon
-16.8833,30.1625,Zimbabwe,Mhangura
-16.8833,30.1625,Zimbabwe,Mhangura
-16.8833,30.1625,Zimbabwe,Mhangura
-16.8833,30.1625,Zimbabwe,Mhangura
-16.8833,30.1625,Zimbabwe,Mhangura
-16.8833,30.1625,Zimbabwe,Mhangura
-20.3383,30.0389,Zimbabwe,Mimosa
