Index,Companycountry,Metal,Mine,Status
653,Switzerland,coal,Optimum,"Operating, exp/constr"
654,Hong Kong,Au,Orkney,Operating
655,South Africa,Au,Oryx,Operating
656,South Africa,Au,Ospray,Active
657,South Africa,coal,Paardeplaats,Operating
658,UK,Cu,Palabora,Closed
659,UK,Au,Palabora,Closed
660,UK,Fe,Palabora,Closed
661,UK,PGM,Palabora,Closed
662,UK,PGM,Palabora,Closed
663,UK,PGM,Palabora,Closed
664,UK,Ag,Palabora,Closed
665,UK,Ti,Palabora,Closed
666,UK,U,Palabora,Closed
667,UK,Zr,Palabora,Closed
668,UK,Cu,Palabora,Operating
669,UK,Ag,Palabora,Operating
670,Canada,Dia,Palmietgat,Operating
671,UK,Cu,Pandora,Operating
672,UK,Au,Pandora,Operating
673,UK,Ni,Pandora,Operating
674,UK,PGM,Pandora,Operating
675,UK,PGM,Pandora,Operating
676,UK,PGM,Pandora,Operating
677,UK,PGM,Pandora,Operating
678,Australia,Pb,Pering,Closed
679,Australia,Zn,Pering,Closed
680,South Africa,Au,Petrex,Operating
681,South Africa,Au,Phakisa,Operating
682,Switzerland,coal,Phoenix,Operating
683,South Africa,Cu,Phosphate,Active
684,South Africa,PO43,Phosphate,Active
685,South Africa,Ag,Phosphate,Active
686,South Africa,Zr,Phosphate,Active
687,South Africa,coal,Polmaise,Operating
688,South Africa,Au,President,Operating
689,South Africa,Cu,Prieska,Active
690,South Africa,Zn,Prieska,Active
691,South Africa,Au,Primrose,Operating
692,Canada,Dia,Quaggas,Operating
693,South Africa,Au,Rand,Closed
694,Australia,Au,Randfontein,Operating
695,South Africa,Dia,Reuning,Operating
696,Switzerland,V,Rhovan,Operating
697,UK,Ti,Richards,Operating
698,UK,Zr,Richards,Operating
699,Australia,coal,Rietspruit,Closed
700,South Africa,Cr,Rustenburg,Operating
701,UK,Co,Rustenburg,Active
702,UK,Cu,Rustenburg,Active
703,UK,Au,Rustenburg,Active
704,UK,Ni,Rustenburg,Active
705,UK,PGM,Rustenburg,Active
706,UK,PGM,Rustenburg,Active
707,UK,PGM,Rustenburg,Active
708,UK,Co,Rustenburg,"Operating, exp/plans"
709,UK,Cu,Rustenburg,"Operating, exp/plans"
710,UK,Au,Rustenburg,"Operating, exp/plans"
711,UK,Ni,Rustenburg,"Operating, exp/plans"
712,UK,PGM,Rustenburg,"Operating, exp/plans"
713,UK,PGM,Rustenburg,"Operating, exp/plans"
714,UK,PGM,Rustenburg,"Operating, exp/plans"
715,UK,PGM,Rustenburg,"Operating, exp/plans"
716,UK,Cu,Rustenburg,Operating
717,UK,Au,Rustenburg,Operating
718,UK,Ni,Rustenburg,Operating
719,UK,PGM,Rustenburg,Operating
720,UK,PGM,Rustenburg,Operating
721,UK,PGM,Rustenburg,Operating
722,UK,PGM,Rustenburg,Operating
723,South Africa,Mn,Ryedale,Operating
724,South Africa,Au,Sable/Kudu,Closed
725,South Africa,Au,Saint,Closed
726,UK,Cr,Samancor,Operating
727,Australia,PO43,Samancor,Active
728,South Africa,coal,Savmore,Operating
729,South Africa,Au,Savuka,Operating
730,Canada,Dia,Saxendrift,"Operating, exp/feasib"
731,South Africa,coal,Shanduka,Operating
732,South Africa,coal,Sigma,Operating
733,UK,Cu,Siphumelele,Operating
734,UK,Au,Siphumelele,Operating
735,UK,Ni,Siphumelele,Operating
736,UK,PGM,Siphumelele,Operating
737,UK,PGM,Siphumelele,Operating
738,UK,PGM,Siphumelele,Operating
739,UK,PGM,Siphumelele,Operating
740,UK,Fe,Sishen,"Operating, exp/plans"
741,South Africa,Au,Skukuza,Operating
742,Canada,Dia,So,Operating
743,South Africa,coal,Somkhele,"Operating, exp/constr"
744,UK,Dia,South,Operating
745,South Africa,Au,South,"Operating, exp/plans"
746,South Africa,U,South,"Operating, exp/plans"
747,Switzerland,coal,South,Operating
748,South Africa,coal,Spitzkop,Operating
749,South Africa,coal,Springlake,Operating
750,South Africa,Au,Stanhope,Active
751,South Africa,Au,Stilfontein,Closed
752,South Africa,U,Stilfontein,Closed
753,South Africa,coal,Syferfontein,Operating
754,South Africa,Au,Target,Operating
755,South Africa,Au,Target,Operating
756,South Africa,Au,Tau,Operating
757,South Africa,Au,Tautona,"Operating, exp/plans"
758,Switzerland,coal,Tavistock,Operating
759,UK,Fe,Thabazimbi,Operating
760,UK,Dia,The,Closed
761,UK,Cu,Thembelani,"Operating, exp/plans"
762,UK,Au,Thembelani,"Operating, exp/plans"
763,UK,Ni,Thembelani,"Operating, exp/plans"
764,UK,PGM,Thembelani,"Operating, exp/plans"
765,UK,PGM,Thembelani,"Operating, exp/plans"
766,UK,PGM,Thembelani,"Operating, exp/plans"
767,UK,PGM,Thembelani,"Operating, exp/plans"
768,Switzerland,Cr,Thorncliffe,"Operating, exp/plans"
769,South Africa,Dia,Trans,Operating
770,Russia,V,Transvaal,Active
771,South Africa,coal,Tselentis,Operating
772,South Africa,Au,Tshepong,"Operating, exp/constr"
773,South Africa,coal,Tshikondeni,Operating
774,UK,Cu,Tumela,Operating
775,UK,Au,Tumela,Operating
776,UK,Ni,Tumela,Operating
777,UK,PGM,Tumela,Operating
778,UK,PGM,Tumela,Operating
779,UK,PGM,Tumela,Operating
780,UK,PGM,Tumela,Operating
781,Switzerland,coal,Tweefontein,"Operating, exp/feasib"
782,Switzerland,coal,Tweefontein,Operating
783,UK,Au,Twickenham,"Operating, exp/plans"
784,UK,Ni,Twickenham,"Operating, exp/plans"
785,UK,PGM,Twickenham,"Operating, exp/plans"
786,UK,PGM,Twickenham,"Operating, exp/plans"
787,UK,PGM,Twickenham,"Operating, exp/plans"
788,UK,PGM,Twickenham,"Operating, exp/plans"
789,South Africa,coal,Twistdraai,Operating
790,South Africa,Au,Two,Operating
791,South Africa,Ni,Two,Operating
792,South Africa,PGM,Two,Operating
793,South Africa,PGM,Two,Operating
794,South Africa,PGM,Two,Operating
795,South Africa,PGM,Two,Operating
796,Switzerland,coal,Umcebo,Operating
797,India,coal,Umlabu,Operating
798,USA,Cr,Union,Non-active
799,UK,Cu,Union,Operating
800,UK,Au,Union,Operating
801,UK,Ni,Union,Operating
802,UK,PGM,Union,Operating
803,UK,PGM,Union,Operating
804,UK,PGM,Union,Operating
805,UK,PGM,Union,Operating
806,South Africa,Au,Unisel,Operating
807,South Africa,Au,Vaal,Operating
808,South Africa,U,Vaal,Operating
809,South Africa,Au,Vaal,Operating
810,Russia,V,Vametco,Active
811,Australia,coal,Vele,Operating
812,UK,Dia,Venetia,"Operating, exp/feasib"
813,South Africa,Au,Venterspost,Closed
814,South Africa,Ag,Venterspost,Closed
815,South Africa,Au,Virginia,Operating
816,South Africa,Au,Vlakfontein,Closed
817,Australia,coal,Vlakvarkfontein,Operating
818,UK,Dia,Voorspoed,Operating
819,Switzerland,coal,Waterpan,Operating
820,Switzerland,Cr,Waterval,Operating
821,South Africa,coal,Welgedacht,Operating
822,Hong Kong,Au,Welkom,Suspended
823,Australia,coal,Wesselton,Closed
824,South Africa,Au,West,Operating
825,South Africa,Ag,West,Operating
826,South Africa,U,West,Operating
827,South Africa,Au,West,Closed
828,South Africa,Au,West,Closed
829,South Africa,Au,West,Operating
830,Australia,Au,West,Closed
831,UK,Cu,Western,Operating
832,UK,Au,Western,Operating
833,UK,Ni,Western,Operating
834,UK,PGM,Western,Operating
835,UK,PGM,Western,Operating
836,UK,PGM,Western,Operating
837,UK,PGM,Western,Operating
838,UK,Cu,Western,Operating
839,UK,Au,Western,Operating
840,UK,Ni,Western,Operating
841,UK,PGM,Western,Operating
842,UK,PGM,Western,Operating
843,UK,PGM,Western,Operating
844,UK,PGM,Western,Operating
845,South Africa,Au,Winkelhaak,Suspended
846,Switzerland,coal,Witcons,Operating
847,South Africa,Au,Witwatersrand,Non-active
848,Australia,coal,Woestalleen,Operating
849,Australia,coal,Wolvekrans,Operating
850,Canada,Dia,Wouterspan,"Susp, restart/plans"
851,South Africa,Sn,Zaaiplaats,Active
852,South Africa,Cr,Zeerust,Active
853,UK,coal,Zibulo,Operating
854,UK,coal,Zululand,Operating
