Metalmineral,Fullname,Status,Controllingcompany1contro,Controllingcompany1country,Controllingcompany1type,Controllingcompany2contro,Controllingcompany2country,Controllingcompany2type,Controllingcompany3contro,Controllingcompany3country,Controllingcompany3type,Companycountry,Latitude,Longitude,country,shortname,metal,admin_03
Diamond value  (M USD),Namco Offshore Diamond Mine,Operating,Namco (100%),UK,Company ,,,,,,,UK,-26.55,15.0333,Namibia,Namco,Dia,NAM
Diamond carats  (Mct),Namdeb Diamond Corp Mines,Operating,Anglo American (50%),UK,Major company,State of Namibia (50%),Namibia ,Government organ,,,,UK,-28.55,16.4333,Namibia,Namdeb,Dia,NAM
Diamond value  (M USD),Namdeb Diamond Corp Mines,Operating,Anglo American (50%),UK,Major company,State of Namibia (50%),Namibia ,Government organ,,,,UK,-28.55,16.4333,Namibia,Namdeb,Dia,NAM
Diamond carats  (Mct),Namdeb Offshore Diamond Mine,Operating,Anglo American (85%),UK,Major company,State of Namibia (15%),Namibia ,Government organ,,,,UK,-26.55,15.0333,Namibia,Namdeb,Dia,NAM
Lithium  (kt),Namibia Lithium Mines (Pty) Ltd,Active,,MISSING,,,,,,,,,,,Namibia,Namibia,Li,NAM
Gold  (t),Navachab Gold Mine,Operating,Anglogold (100%),South Africa,Major company,,,,,,,South Africa,-21.9833,15.85,Namibia,Navachab,Au,NAM
Tungsten  (kt),Nordex JV,Active,,MISSING,,,,,,,,,,,Namibia,Nordex,W,NAM
Copper  (kt),Oamites Mining Co (Pty) Ltd,Non-active,,MISSING,,,,,,,,,,,Namibia,Oamites,Cu,NAM
Silver  (t),Oamites Mining Co (Pty) Ltd,Non-active,,MISSING,,,,,,,,,,,Namibia,Oamites,Ag,NAM
Diamond carats  (Mct),Orange River Diamond Mines,Operating,Anglo American (50%),UK,Major company,State of Namibia (50%),Namibia ,Government organ,,,,UK,-28.55,16.4278,Namibia,Orange,Dia,NAM
Copper  (kt),Otjihase Copper Mine,Operating,Weatherly (100%),UK,Company ,,,,,,,UK,-22.3333,17.1833,Namibia,Otjihase,Cu,NAM
Gold  (t),Otjihase Copper Mine,Operating,Weatherly (100%),UK,Company ,,,,,,,UK,-22.3333,17.1833,Namibia,Otjihase,Au,NAM
Silver  (t),Otjihase Copper Mine,Operating,Weatherly (100%),UK,Company ,,,,,,,UK,-22.3333,17.1833,Namibia,Otjihase,Ag,NAM
Manganese ore  (Mt),Otjisondu Manganese Mine,Operating,Purity Manganese (100%),South Africa,Company ,,,,,,,South Africa,-22.0833,17.3167,Namibia,Otjisondu,Mn,NAM
Lead  (kt),Rosh Pinah Zinc/Lead Mine,Operating,Glencore Interna (100%),Switzerland ,Major company,,,,,,,Switzerland,-27.95,16.7667,Namibia,Rosh,Pb,NAM
Silver  (t),Rosh Pinah Zinc/Lead Mine,Operating,Glencore Interna (100%),Switzerland ,Major company,,,,,,,Switzerland,-27.95,16.7667,Namibia,Rosh,Ag,NAM
Zinc  (kt),Rosh Pinah Zinc/Lead Mine,Operating,Glencore Interna (100%),Switzerland ,Major company,,,,,,,Switzerland,-27.95,16.7667,Namibia,Rosh,Zn,NAM
Uranium oxide  (kt),R_ssing Uranium Mine,Operating: exp/plans,Rio Tinto Group (100%),UK,Major company,,,,,,,UK,-22.4167,15.4167,Namibia,R_ssing,U,NAM
Zinc  (kt),Skorpion Zinc Mine,Operating,Vedanta (100%),UK,Major company,,,,,,,UK,-27.85,16.5333,Namibia,Skorpion,Zn,NAM
Lead  (kt),South West Africa Co,Active,,MISSING,,,,,,,,,,,Namibia,South,Pb,NAM
Tin  (kt),South West Africa Co,Active,,MISSING,,,,,,,,,,,Namibia,South,Sn,NAM
Tungsten  (kt),South West Africa Co,Active,,MISSING,,,,,,,,,,,Namibia,South,W,NAM
Vanadium  (kt),South West Africa Co,Active,,MISSING,,,,,,,,,,,Namibia,South,V,NAM
Zinc  (kt),South West Africa Co,Active,,MISSING,,,,,,,,,,,Namibia,South,Zn,NAM
Tin  (kt),Tin Tan Tin Mine,Closed,,MISSING,,,,,,,,,,,Namibia,Tin,Sn,NAM
Copper  (kt),Tsumeb Copper/Lead Mine,Closed,Weatherly (100%),UK,Company ,,,,,,,UK,-19.2283,17.7122,Namibia,Tsumeb,Cu,NAM
Lead  (kt),Tsumeb Copper/Lead Mine,Closed,Weatherly (100%),UK,Company ,,,,,,,UK,-19.2283,17.7122,Namibia,Tsumeb,Pb,NAM
Silver  (t),Tsumeb Copper/Lead Mine,Closed,Weatherly (100%),UK,Company ,,,,,,,UK,-19.2283,17.7122,Namibia,Tsumeb,Ag,NAM
Zinc  (kt),Tsumeb Copper/Lead Mine,Closed,Weatherly (100%),UK,Company ,,,,,,,UK,-19.2283,17.7122,Namibia,Tsumeb,Zn,NAM
Copper  (kt),Tsumeb Corp Ltd,Non-active,,UK,,,,,,,,,-19.2283,17.7122,Namibia,Tsumeb,Cu,NAM
Lead  (kt),Tsumeb Corp Ltd,Non-active,,UK,,,,,,,,,-19.2283,17.7122,Namibia,Tsumeb,Pb,NAM
Silver  (t),Tsumeb Corp Ltd,Non-active,,UK,,,,,,,,,-19.2283,17.7122,Namibia,Tsumeb,Ag,NAM
Zinc  (kt),Tsumeb Corp Ltd,Non-active,,UK,,,,,,,,,-19.2283,17.7122,Namibia,Tsumeb,Zn,NAM
Tin  (kt),Uis Tin Mine,Closed,,UK,,,,,,,,,-21.2167,14.8667,Namibia,Uis,Sn,NAM
Uranium oxide  (kt),Akouta Uranium Mine,Operating,Areva (34%),France,Holding company ,State of Niger (31%),Niger ,Government organ,Overseas Uranium (25%),Japan ,Holding company ,France,18.75,7.5,Niger,Akouta,U,NER
Uranium oxide  (kt),Arlit Uranium Mine,Operating,Areva (66%),France,Holding company ,State of Niger (34%),Niger ,Government organ,,,,France,18.7833,7.3333,Niger,Arlit,U,NER
Molybdenum  (kt),Cie Minière d'Akouta,Active,Areva (34%),France,Holding company ,State of Niger (31%),Niger ,Government organ,Overseas Uranium (25%),Japan ,Holding company ,France,,,Niger,Cie,Mo,NER
Gold  (t),Samira Hill Gold Mine,Operating,Semafo (80%),Canada,Company ,State of Niger (20%),Niger ,Government organ,,,,Canada,13.6,1.35,Niger,Samira,Au,NER
Tin  (kt),St_ Minière du Niger,,State of Niger (100%),Niger ,Government organ,,,,,,,Niger,,,Niger,St_,Sn,NER
Niobium  (kt),Amalgamated Tin Mines of Nigeria,Active,,MISSING,,,,,,,,,9.9,8.88,Nigeria,Amalgamated,coltan,NGA
Tin  (kt),Amalgamated Tin Mines of Nigeria,Active,,MISSING,,,,,,,,,9.9,8.88,Nigeria,Amalgamated,Sn,NGA
Niobium  (kt),Bisichi Jantar Nigeria Ltd,Active,,MISSING,,,,,,,,,,,Nigeria,Bisichi,coltan,NGA
Tin  (kt),Bisichi Jantar Nigeria Ltd,Active,,MISSING,,,,,,,,,,,Nigeria,Bisichi,Sn,NGA
Niobium  (kt),Consolidated Tin Mines Ltd,Non-active,,MISSING,,,,,,,,,,,Nigeria,Consolidated,coltan,NGA
Tin  (kt),Consolidated Tin Mines Ltd,Non-active,,MISSING,,,,,,,,,,,Nigeria,Consolidated,Sn,NGA
Tin  (kt),Ex-Lands Nigeria Ltd,Active,,MISSING,,,,,,,,,,,Nigeria,Ex-Lands,Sn,NGA
Niobium  (kt),Gold & Base Metal Mines of Nigeria Ltd,Active,,MISSING,,,,,,,,,,,Nigeria,Gold,coltan,NGA
Tin  (kt),Gold & Base Metal Mines of Nigeria Ltd,Active,,MISSING,,,,,,,,,,,Nigeria,Gold,Sn,NGA
Iron ore  (Mt),Itakpe Iron Ore Mine,Operating,State of Nigeria (100%),Nigeria ,Government organ,,,,,,,Nigeria,7.95,6.2333,Nigeria,Itakpe,Fe,NGA
Tin  (kt),Nigerian Tin & Allied Mineral Products Ltd,Active,State of Nigeria (100%),Nigeria ,Government organ,,,,,,,Nigeria,,,Nigeria,Nigerian,Sn,NGA
Coal  (Mt),Tefereyre Coal Mine,Operating,Sonichar (100%),Niger ,Company ,,,,,,,Niger,17.7833,7.3833,Nigeria,Tefereyre,coal,NGA
Tungsten  (kt),Regie d'Exploitation et de Developpement des Mines,Active,State of Rwanda (100%),Rwanda,Government organ,,,,,,,Rwanda,,,Rwanda,Regie,W,RWA
Tin  (kt),St_ des Mines du Rwanda,Active,,MISSING,,,,,,,,,-1.9,30.0667,Rwanda,St_,Sn,RWA
Tungsten  (kt),St_ des Mines du Rwanda,Active,,MISSING,,,,,,,,,-1.9,30.0667,Rwanda,St_,W,RWA
Phosphate rock  (Mt),Cie Senegalaise des Phosphates de Taiba,Active,State of Senegal (100%),Senegal ,Government organ,,,,,,,Senegal,,,Senegal,Cie,PO43,SEN
Gold  (t),Douta Alluvial Gold Mine,Suspended,Bassari (100%),Australia,Company ,,,,,,,Australia,,,Senegal,Douta,Au,SEN
Gold  (t),Sabodala Gold Mine,Operating: exp/feasib,Teranga Gold (100%),Canada,Company ,,,,,,,Canada,,,Senegal,Sabodala,Au,SEN
Phosphate rock  (Mt),Thies Phosphate Mine,Operating,Aventis (50%),France,Non-mining compa,State of Senegal (50%),Senegal ,Government organ,,,,France,,,Senegal,Thies,PO43,SEN
Iron ore  (Mt),Marampa (London Mining) Iron Ore Mines,Operating: exp/plans,London Mining (100%),UK,Company ,,,,,,,UK,8.7,-11.9667,Sierra Leone,Marampa,Fe,SLE
Diamond carats  (Mct),National Diamond Mining Co (Sierra Leone) Ltd,Non-active,,MISSING,,,,,,,,,,,Sierra Leone,National,Dia,SLE
Gold  (t),National Diamond Mining Co (Sierra Leone) Ltd,Non-active,,MISSING,,,,,,,,,,,Sierra Leone,National,Au,SLE
Bauxite  (Mt),Sierra Leone Ore & Metal Co Ltd,Active,State of Sierra Leone (100%),Sierra Leone,Government organ,,,,,,,Sierra Leone,7.9167,-12.1667,Sierra Leone,Sierra,Al,SLE
Titanium  (kt),Sierra Rutile and Rare Earths Mine,Operating: exp/feasib,Pala (100%),Switzerland ,Holding company ,,,,,,,Switzerland,7.735,-12.295,Sierra Leone,Sierra,Ti,SLE
Bauxite  (Mt),SML Bauxite Mine,Operating,Vimetco (100%),Netherlands ,Major company,,,,,,,Netherlands,7.896,-12.084,Sierra Leone,SML,Al,SLE
Diamond carats  (Mct),Dokolwayo Diamond Mine,Closed,Northam (50%),South Africa,Company ,State of Swaziland (50%),Swaziland,Government organ,,,,South Africa,-26.15,31.5833,Swaziland,Dokolwayo,Dia,SWZ
Coal  (Mt),Maloma Coal Mine,Operating,Tibiyo Taka Ngwo (100%),Swaziland,Non-mining compa,,,,,,,Swaziland,-27.05,31.6833,Swaziland,Maloma,coal,SWZ
Iron ore  (Mt),Swaziland Iron Ore Development Co Ltd,Active,,MISSING,,,,,,,,,,,Swaziland,Swaziland,Fe,SWZ
Gold  (t),Bulyanhulu Gold Mine,Operating: exp/feasib,Barrick (100%),Canada,Major company,,,,,,,Canada,-3.8,32.6,Tanzania,Bulyanhulu,Au,TZA
Gold  (t),Buzwagi Gold Mine,Operating,Barrick (100%),Canada,Major company,,,,,,,Canada,-3.855,32.655,Tanzania,Buzwagi,Au,TZA
Gold  (t),Geita Gold Mine,Operating: exp/plans,Anglogold (100%),South Africa,Major company,,,,,,,South Africa,-2.9167,32.0833,Tanzania,Geita,Au,TZA
Gold  (t),Golden Pride (Tan) Gold Mine,Operating,Resolute (100%),Australia,Company ,,,,,,,Australia,-4.1333,33.1667,Tanzania,Golden,Au,TZA
Gold  (t),New Luika Gold Mine,Operating,Shanta Gold (100%),UK,Company ,,,,,,,UK,-8.364,32.97,Tanzania,New,Au,TZA
Gold  (t),North Mara Gold Mine,Operating,Barrick (100%),Canada,Major company,,,,,,,Canada,-1.65,34.4389,Tanzania,North,Au,TZA
Gold  (t),State Mining Corp,Active,State of Tanzania (100%),Tanzania,Government organ,,,,,,,Tanzania,,,Tanzania,State,Au,TZA
Gold  (t),Tulawaka Gold Mine,Operating,Barrick (70%),Canada,Major company,MDN (30%),Canada,Company ,,,,Canada,-3.3667,31.65,Tanzania,Tulawaka,Au,TZA
Diamond carats  (Mct),Williamson Diamond Mine,Operating,Petra Diamonds (75%),South Africa,Company ,State of Tanzania (25%),Tanzania,Government organ,,,,South Africa,-3.55,33.6,Tanzania,Williamson,Dia,TZA
Diamond value  (M USD),Williamson Diamond Mine,Operating,Petra Diamonds (75%),South Africa,Company ,State of Tanzania (25%),Tanzania,Government organ,,,,South Africa,-3.55,33.6,Tanzania,Williamson,Dia,TZA
Phosphate rock  (Mt),Cie Togolaise des Mines de Benin,Active,State of Togo (100%),Togo  ,Government organ,,,,,,,Togo,,,Togo,Cie,PO43,TGO
Phosphate rock  (Mt),Office Togolaise des Phosphates,Active,State of Togo (100%),Togo  ,Government organ,,,,,,,Togo,6.3833,1.4167,Togo,Office,PO43,TGO
Tungsten  (kt),Bjordal (Nyamuliro) Tungsten Mine,Operating,Krone Uganda (100%),Uganda,Company ,,,,,,,Uganda,-1.1625,29.8011,Uganda,Bjordal,W,UGA
Copper  (kt),Kilembe Mines Ltd,Active,State of Uganda (100%),Uganda,Government organ,,,,,,,Uganda,,,Uganda,Kilembe,Cu,UGA
Tungsten  (kt),Uganda Development Corp,Active,,MISSING,,,,,,,,,,,Uganda,Uganda,W,UGA
Copper  (kt),Baluba Copper/Cobalt Mine,Operating,CNMC (100%),China ,Company ,,,,,,,China,-13.03,28.3833,Zambia,Baluba,Cu,ZMB
Copper  (kt),Bwana Mkubwa Copper SX/EW plant,Closed,First Quantum (100%),Canada,Major company,,,,,,,Canada,-13.0228,28.6911,Zambia,Bwana,Cu,ZMB
Copper  (kt),Chambishi Copper Mine,Operating: exp/constr,CNMC (100%),China ,Company ,,,,,,,China,-12.6556,28.0458,Zambia,Chambishi,Cu,ZMB
Cobalt  (kt),Chibuluma Copper Mine,Closed,JNMC (100%),China ,Major company,,,,,,,China,-12.8283,28.1056,Zambia,Chibuluma,Co,ZMB
Copper  (kt),Chibuluma Copper Mine,Closed,JNMC (100%),China ,Major company,,,,,,,China,-12.8283,28.1056,Zambia,Chibuluma,Cu,ZMB
Copper  (kt),Chibuluma South Copper Mine,Operating,JNMC (100%),China ,Major company,,,,,,,China,-13,28.1,Zambia,Chibuluma,Cu,ZMB
Gold  (t),Dunrobin Gold Mine,Susp: restart/constr,Luiri Gold (100%),Canada,Company ,,,,,,,Canada,-15.1667,27.2,Zambia,Dunrobin,Au,ZMB
Copper  (kt),Kansanshi Copper (SXEW) Mine,Operating,First Quantum (100%),Canada,Major company,,,,,,,Canada,-12.1,26.4333,Zambia,Kansanshi,Cu,ZMB
Copper  (kt),Kansanshi Copper Mine,Operating: exp/constr,First Quantum (100%),Canada,Major company,,,,,,,Canada,-12.1,26.4333,Zambia,Kansanshi,Cu,ZMB
Gold  (t),Kansanshi Copper Mine,Operating: exp/constr,First Quantum (100%),Canada,Major company,,,,,,,Canada,-12.1,26.4333,Zambia,Kansanshi,Au,ZMB
Copper  (kt),Konkola Copper/Cobalt Mine,Operating,Vedanta (79%),UK,Major company,ZCCM (21%),Zambia,Holding company ,,,,UK,-12.3,27.75,Zambia,Konkola,Cu,ZMB
Copper  (kt),Luanshya Copper Mine,Susp: restart/plans,Weatherly (100%),UK,Company ,,,,,,,UK,-13.1381,28.3908,Zambia,Luanshya,Cu,ZMB
Copper  (kt),Lubambe Copper Mine,Operating,Vale (40%),Brazil,Major company,ARM (40%),South Africa,Major company,ZCCM (20%),Zambia,Holding company ,Brazil,-12.3883,27.95,Zambia,Lubambe,Cu,ZMB
Copper  (kt),Lumwana Copper Mine,Operating: exp/feasib,Barrick (100%),Canada,Major company,,,,,,,Canada,-11.8333,25.15,Zambia,Lumwana,Cu,ZMB
Copper  (kt),Mufulira Copper (SX-EW) Mine,Operating,Glencore Interna (100%),Switzerland ,Major company,,,,,,,Switzerland,-12.535,28.237,Zambia,Mufulira,Cu,ZMB
Copper  (kt),Mufulira Copper Mine,Operating,Glencore Interna (100%),Switzerland ,Major company,,,,,,,Switzerland,-12.5458,28.2333,Zambia,Mufulira,Cu,ZMB
Cobalt  (kt),Nchanga Consolidated Copper Mines Ltd,Non-active,,MISSING,,,,,,,,,,,Zambia,Nchanga,Co,ZMB
Copper  (kt),Nchanga Consolidated Copper Mines Ltd,Non-active,,MISSING,,,,,,,,,,,Zambia,Nchanga,Cu,ZMB
Gold  (t),Nchanga Consolidated Copper Mines Ltd,Non-active,,MISSING,,,,,,,,,,,Zambia,Nchanga,Au,ZMB
Lead  (kt),Nchanga Consolidated Copper Mines Ltd,Non-active,,MISSING,,,,,,,,,,,Zambia,Nchanga,Pb,ZMB
Silver  (t),Nchanga Consolidated Copper Mines Ltd,Non-active,,MISSING,,,,,,,,,,,Zambia,Nchanga,Ag,ZMB
Zinc  (kt),Nchanga Consolidated Copper Mines Ltd,Non-active,,MISSING,,,,,,,,,,,Zambia,Nchanga,Zn,ZMB
Copper  (kt),Nchanga Copper (Tailings Leach) Mine,Operating,Vedanta (79%),UK,Major company,ZCCM (21%),Zambia,Holding company ,,,,UK,-12.5,27.85,Zambia,Nchanga,Cu,ZMB
Cobalt  (kt),Nchanga Copper/Cobalt Mine,Operating,Vedanta (79%),UK,Major company,ZCCM (21%),Zambia,Holding company ,,,,UK,-12.5,27.85,Zambia,Nchanga,Co,ZMB
Copper  (kt),Nchanga Copper/Cobalt Mine,Operating,Vedanta (79%),UK,Major company,ZCCM (21%),Zambia,Holding company ,,,,UK,-12.5,27.85,Zambia,Nchanga,Cu,ZMB
Cobalt  (kt),Nkana Copper/Cobalt Mine,Operating: exp/plans,Glencore Interna (100%),Switzerland ,Major company,,,,,,,Switzerland,-12.8417,28.2083,Zambia,Nkana,Co,ZMB
Copper  (kt),Nkana Copper/Cobalt Mine,Operating: exp/plans,Glencore Interna (100%),Switzerland ,Major company,,,,,,,Switzerland,-12.8417,28.2083,Zambia,Nkana,Cu,ZMB
Cobalt  (kt),Sable Zinc Kabwe Copper EW Mine,Operating,Glencore Interna (100%),Switzerland ,Major company,,,,,,,Switzerland,-14.459,28.437,Zambia,Sable,Co,ZMB
Copper  (kt),Sable Zinc Kabwe Copper EW Mine,Operating,Glencore Interna (100%),Switzerland ,Major company,,,,,,,Switzerland,-14.459,28.437,Zambia,Sable,Cu,ZMB
Gold  (t),Aardcor Mines Ltd,Active,Amzim (100%),Zimbabwe,Holding company ,,,,,,,Zimbabwe,,,Zimbabwe,Aardcor,Au,ZWE
Gold  (t),Arcturus Gold Mine,Operating,African Pioneer (100%),South Africa,Holding company ,,,,,,,South Africa,-17.7792,31.3458,Zimbabwe,Arcturus,Au,ZWE
Gold  (t),Athens Gold Mine,Suspended,African Pioneer (100%),South Africa,Holding company ,,,,,,,South Africa,-19.2958,30.5194,Zimbabwe,Athens,Au,ZWE
Gold  (t),Attica Mines (Pvt) Ltd,Active,African Pioneer (100%),South Africa,Holding company ,,,,,,,South Africa,,,Zimbabwe,Attica,Au,ZWE
Lithium  (kt),Bikita Minerals (Pvt) Ltd,Active,Africa Res (100%),Zimbabwe,Company ,,,,,,,Zimbabwe,-19.95,31.4333,Zimbabwe,Bikita,Li,ZWE
Cobalt  (kt),Bindura Nickel Corp Ltd,Active,Mwana Africa (100%),UK,Company ,,,,,,,UK,-17.3333,31.35,Zimbabwe,Bindura,Co,ZWE
Copper  (kt),Bindura Nickel Corp Ltd,Active,Mwana Africa (100%),UK,Company ,,,,,,,UK,-17.3333,31.35,Zimbabwe,Bindura,Cu,ZWE
Nickel  (kt),Bindura Nickel Corp Ltd,Active,Mwana Africa (100%),UK,Company ,,,,,,,UK,-17.3333,31.35,Zimbabwe,Bindura,Ni,ZWE
Palladium  (t),Bindura Nickel Corp Ltd,Active,Mwana Africa (100%),UK,Company ,,,,,,,UK,-17.3333,31.35,Zimbabwe,Bindura,PGM,ZWE
Platinum  (t),Bindura Nickel Corp Ltd,Active,Mwana Africa (100%),UK,Company ,,,,,,,UK,-17.3333,31.35,Zimbabwe,Bindura,PGM,ZWE
PGMs  (t),Bindura Nickel Corp Ltd,Active,Mwana Africa (100%),UK,Company ,,,,,,,UK,-17.3333,31.35,Zimbabwe,Bindura,PGM,ZWE
Gold  (t),Blanket Gold Mine,Operating: exp/plans,Caledonia (100%),Canada,Company ,,,,,,,Canada,-20.8333,28.5769,Zimbabwe,Blanket,Au,ZWE
Iron ore  (Mt),Buchwa Iron Ore Mine,Closed,Essar Group (100%),India ,Energy company  ,,,,,,,India,-20.6237,30.3243,Zimbabwe,Buchwa,Fe,ZWE
Gold  (t),Cam & Motor Gold Mine,Operating,Riozim (100%),Zimbabwe,Holding company ,,,,,,,Zimbabwe,-18.3333,29.9806,Zimbabwe,Cam,Au,ZWE
Gold  (t),Camperdown Gold Mine,Operating,New Dawn (100%),Canada,Company ,,,,,,,Canada,-19.65,30.0167,Zimbabwe,Camperdown,Au,ZWE
Gold  (t),Connemara Gold Mine,Closed,First Quantum (100%),Canada,Major company,,,,,,,Canada,-19.2,29.8083,Zimbabwe,Connemara,Au,ZWE
Chromite  (kt),Cooperatives: Zimalloys controlled,,,MISSING,,,,,,,,,,,Zimbabwe,Cooperatives:,Cr,ZWE
Chromite  (kt),Cooperatives: Zimasco controlled,,,MISSING,,,,,,,,,,,Zimbabwe,Cooperatives:,Cr,ZWE
Copper  (kt),Corsyn Consolidated Mines Ltd,Active,African Pioneer (100%),South Africa,Holding company ,,,,,,,South Africa,,,Zimbabwe,Corsyn,Cu,ZWE
Silver  (t),Corsyn Consolidated Mines Ltd,Active,African Pioneer (100%),South Africa,Holding company ,,,,,,,South Africa,,,Zimbabwe,Corsyn,Ag,ZWE
Gold  (t),Dalny Gold Mine,Operating,New Dawn (100%),Canada,Company ,,,,,,,Canada,-18.0556,29.8458,Zimbabwe,Dalny,Au,ZWE
Phosphate rock  (Mt),Dorowa Mining (Pvt) Ltd,Active,State of Zimbabwe (100%),Zimbabwe,Government organ,,,,,,,Zimbabwe,-19.0333,31.75,Zimbabwe,Dorowa,PO43,ZWE
Gold  (t),Elvington Gold Mine,Operating,State of Zimbabwe (100%),Zimbabwe,Government organ,,,,,,,Zimbabwe,-18.8472,29.7375,Zimbabwe,Elvington,Au,ZWE
Copper  (kt),Empress Nickel Mine,Closed,,MISSING,,,,,,,,,,,Zimbabwe,Empress,Cu,ZWE
Nickel  (kt),Empress Nickel Mine,Closed,,MISSING,,,,,,,,,,,Zimbabwe,Empress,Ni,ZWE
Cobalt  (kt),Epoch Nickel Mine,Closed,Mwana Africa (100%),UK,Company ,,,,,,,UK,-20.4333,30.35,Zimbabwe,Epoch,Co,ZWE
Copper  (kt),Epoch Nickel Mine,Closed,Mwana Africa (100%),UK,Company ,,,,,,,UK,-20.4333,30.35,Zimbabwe,Epoch,Cu,ZWE
Nickel  (kt),Epoch Nickel Mine,Closed,Mwana Africa (100%),UK,Company ,,,,,,,UK,-20.4333,30.35,Zimbabwe,Epoch,Ni,ZWE
Gold  (t),Eureka Gold Mine,Operating,Mmakau (100%),South Africa,Company ,,,,,,,South Africa,-16.6667,30.7417,Zimbabwe,Eureka,Au,ZWE
Gold  (t),Forbes & Thompson (Pvt) Ltd,Active,,MISSING,,,,,,,,,,,Zimbabwe,Forbes,Au,ZWE
Gold  (t),Freda Gold Mine,Suspended,Forbes & Thompso (100%),Zimbabwe,Company ,,,,,,,Zimbabwe,-20.9333,28.8,Zimbabwe,Freda,Au,ZWE
Gold  (t),Freda Rebecca Gold Mine,Operating: exp/plans,Mwana Africa (100%),UK,Company ,,,,,,,UK,-17.3147,31.3461,Zimbabwe,Freda,Au,ZWE
Gold  (t),Golden Kopje Mine,Closed,Caledonia (100%),Canada,Company ,,,,,,,Canada,-17.5,30.0389,Zimbabwe,Golden,Au,ZWE
Gold  (t),Golden Quarry Gold Mine,Operating,New Dawn (100%),Canada,Company ,,,,,,,Canada,-19.675,30,Zimbabwe,Golden,Au,ZWE
Palladium  (t),Hartley Platinum Mine,Suspended,Implats (100%),South Africa,Major company,,,,,,,South Africa,-18.075,30.45,Zimbabwe,Hartley,PGM,ZWE
Platinum  (t),Hartley Platinum Mine,Suspended,Implats (100%),South Africa,Major company,,,,,,,South Africa,-18.075,30.45,Zimbabwe,Hartley,PGM,ZWE
PGMs  (t),Hartley Platinum Mine,Suspended,Implats (100%),South Africa,Major company,,,,,,,South Africa,-18.075,30.45,Zimbabwe,Hartley,PGM,ZWE
Rhodium  (t),Hartley Platinum Mine,Suspended,Implats (100%),South Africa,Major company,,,,,,,South Africa,-18.075,30.45,Zimbabwe,Hartley,PGM,ZWE
Gold  (t),How Gold Mine,Operating,African Pioneer (100%),South Africa,Holding company ,,,,,,,South Africa,-20.25,28.7333,Zimbabwe,How,Au,ZWE
Coal  (Mt),Hwange OP Coal Mine,Operating,State of Zimbabwe (100%),Zimbabwe,Government organ,,,,,,,Zimbabwe,-18.3941,26.4275,Zimbabwe,Hwange,coal,ZWE
Coal  (Mt),Hwange UG Coal Mine,Operating,State of Zimbabwe (100%),Zimbabwe,Government organ,,,,,,,Zimbabwe,-18.396,26.44,Zimbabwe,Hwange,coal,ZWE
Gold  (t),Indarama Gold Mine,Suspended,Yamana (100%),Canada,Major company,,,,,,,Canada,-18.8333,29.8167,Zimbabwe,Indarama,Au,ZWE
Gold  (t),Inez Gold Mine,Suspended,Mwana Africa (100%),UK,Company ,,,,,,,UK,-18.35,30.1583,Zimbabwe,Inez,Au,ZWE
Gold  (t),Jena Gold Mine,Operating,State of Zimbabwe (100%),Zimbabwe,Government organ,,,,,,,Zimbabwe,-18.8833,29.0833,Zimbabwe,Jena,Au,ZWE
Niobium  (kt),Kamativi Tin Mines Ltd,Active,State of Zimbabwe (100%),Zimbabwe,Government organ,,,,,,,Zimbabwe,-18.6333,26.8333,Zimbabwe,Kamativi,coltan,ZWE
Tantalum  (t),Kamativi Tin Mines Ltd,Active,State of Zimbabwe (100%),Zimbabwe,Government organ,,,,,,,Zimbabwe,-18.6333,26.8333,Zimbabwe,Kamativi,coltan,ZWE
Tin  (kt),Kamativi Tin Mines Ltd,Active,State of Zimbabwe (100%),Zimbabwe,Government organ,,,,,,,Zimbabwe,-18.6333,26.8333,Zimbabwe,Kamativi,Sn,ZWE
Cobalt  (kt),Madziwa Nickel Mine,Closed,Mwana Africa (100%),UK,Company ,,,,,,,UK,-17,31.66,Zimbabwe,Madziwa,Co,ZWE
Copper  (kt),Madziwa Nickel Mine,Closed,Mwana Africa (100%),UK,Company ,,,,,,,UK,-17,31.66,Zimbabwe,Madziwa,Cu,ZWE
Nickel  (kt),Madziwa Nickel Mine,Closed,Mwana Africa (100%),UK,Company ,,,,,,,UK,-17,31.66,Zimbabwe,Madziwa,Ni,ZWE
Gold  (t),Maligreen oxide Gold Mine,Closed,Amara (50%),UK,Company ,Pan African Mg (50%),Zimbabwe,Company ,,,,UK,-19.5767,29.25,Zimbabwe,Maligreen,Au,ZWE
Gold  (t),Mazowe Gold Mine,Suspended,African Pioneer (100%),South Africa,Holding company ,,,,,,,South Africa,-17.5,30.925,Zimbabwe,Mazowe,Au,ZWE
Copper  (kt),Merits Ltd,Active,State of Zimbabwe (100%),Zimbabwe,Government organ,,,,,,,Zimbabwe,,,Zimbabwe,Merits,Cu,ZWE
Tungsten  (kt),Messina Ltd,Active,,MISSING,,,,,,,,,,,Zimbabwe,Messina,W,ZWE
Gold  (t),Metallon Gold Zimbabwe Ltd,Active,African Pioneer (100%),South Africa,Holding company ,,,,,,,South Africa,,,Zimbabwe,Metallon,Au,ZWE
Copper  (kt),Mhangura Copper Mines Ltd,Active,State of Zimbabwe (100%),Zimbabwe,Government organ,,,,,,,Zimbabwe,-16.8833,30.1625,Zimbabwe,Mhangura,Cu,ZWE
