Metalmineral,Fullname,Status,Controllingcompany1contro,Controllingcompany1country,Controllingcompany1type,Controllingcompany2contro,Controllingcompany2country,Controllingcompany2type,Controllingcompany3contro,Controllingcompany3country,Controllingcompany3type,Companycountry,Latitude,Longitude,country,shortname,metal,admin_03
Nickel  (kt),Selebi-Phikwe Nickel/Copper Mines,Operating,State of Botswana (55%),Botswana,Government organ,Norilsk Nickel (45%),Russia,Major company,,,,Botswana,,,Botswana,Selebi-Phikwe,Ni,BWA
Cobalt  (kt),Tati Nickel Mining Co,Active,Norilsk Nickel (100%),Russia,Major company,,,,,,,Russia,,,Botswana,Tati,Co,BWA
Copper  (kt),Tati Nickel Mining Co,Active,Norilsk Nickel (100%),Russia,Major company,,,,,,,Russia,,,Botswana,Tati,Cu,BWA
Gold  (t),Tati Nickel Mining Co,Active,Norilsk Nickel (100%),Russia,Major company,,,,,,,Russia,,,Botswana,Tati,Au,BWA
Nickel  (kt),Tati Nickel Mining Co,Active,Norilsk Nickel (100%),Russia,Major company,,,,,,,Russia,,,Botswana,Tati,Ni,BWA
Palladium  (t),Tati Nickel Mining Co,Active,Norilsk Nickel (100%),Russia,Major company,,,,,,,Russia,,,Botswana,Tati,PGM,BWA
Platinum  (t),Tati Nickel Mining Co,Active,Norilsk Nickel (100%),Russia,Major company,,,,,,,Russia,,,Botswana,Tati,PGM,BWA
PGMs  (t),Tati Nickel Mining Co,Active,Norilsk Nickel (100%),Russia,Major company,,,,,,,Russia,,,Botswana,Tati,PGM,BWA
Silver  (t),Tati Nickel Mining Co,Active,Norilsk Nickel (100%),Russia,Major company,,,,,,,Russia,,,Botswana,Tati,Ag,BWA
Gold  (t),Essakane Gold Mine,Operating: exp/constr,Iamgold (100%),Canada,Major company,,,,,,,Canada,14.3333,-0.0333,Burkina Faso,Essakane,Au,BFA
Gold  (t),Inata Gold Mine,Operating,Avocet (100%),UK,Company ,,,,,,,UK,14.367,-1.303,Burkina Faso,Inata,Au,BFA
Gold  (t),Kalsaka Gold Mine,Operating,Amara (100%),UK,Company ,,,,,,,UK,13.1833,-1.9833,Burkina Faso,Kalsaka,Au,BFA
Gold  (t),Mana Gold Mine,Operating: exp/feasib,Semafo (100%),Canada,Company ,,,,,,,Canada,12.4833,-2.1833,Burkina Faso,Mana,Au,BFA
Gold  (t),Poura Gold Mine,Suspended,,MISSING,,,,,,,,,11.5667,-2.8667,Burkina Faso,Poura,Au,BFA
Silver  (t),St_ de Recherches & d'Exploitation Minières du Burkina Faso,Active,State of Burkina Faso (100%),Burkina Faso,Government organ,,,,,,,Burkina Faso,,,Burkina Faso,St_,Ag,BFA
