A,Metalmineral,Status,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Companycountry,country,shortname,metal
3,Chromite  (kt),Operating,152,144,160,140,90,106,137,134,104,100,131,24,11,45,77,141,132,122,84,60,  ..   ,  ..   ,  ..   ,Madagascar,Madagascar,Kraomita,Cr
1,Uranium oxide  (kt),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,,,,  ..   ,Australia,Malawi,Kayelekera,U
1,Gold  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,4.285,8.817,South Africa,Mali,Gounkoto,Au
2,Gold  (t),"Operating, exp/constr", ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.23,0.464,0.704,0.789,0.666,0.519,0.334,0.309,0.314,UK,Mali,Kalana,Au
3,Gold  (t),Operating,  ..   ,  ..   , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,2.114,7.514,8.231,8.028,10.936,9.846,6.483,6.835,South Africa,Mali,Loulo,Au
4,Gold  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,4.404,19.647,32.746,24.696,15.895,20.252,16.07,13.991,13.245,10.627,7.422,7.732,6.298,South Africa,Mali,Morila,Au
5,Gold  (t),"Operating, exp/feasib", ---  , ---  , ---  , ---  , ---  , ---  , ---  ,11.344,15.742,16.888,19,15.66,14.92,14.053,14.266,13.74,15.52,11.5,14.1,11,8.932,9.161,7.586,South Africa,Mali,Sadiola,Au
6,Gold  (t),Active,0.4,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,Mali,Mali,Sté,Au
7,Gold  (t),"Operating, exp/constr",1.91,2.55,3.23,4.717,2.922,3.976,6.03,4.1,4.486,6.103,5.253,1.896, ---  , ---  , ---  , ---  , ---  , ---  ,0.211,1.688,2.769,3.083,5.46,Australia,Mali,Syama,Au
8,Gold  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,1.279,1.769, ---  ,1.595,2.727,2.838,3.431,Canada,Mali,Tabakoto,Au
9,Gold  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,4.07,8.353,6.78,7.525,7.65,10.935,9.355,5.13,6.92,4.668,2.24,2.255,South Africa,Mali,Yatela,Au
1,Coal  (Mt),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   , ---  ,0.71,UK,Mozambique,Benga,coal
2,Tantalum  (t),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,5,20,  ..   ,  ..   ,  ..   ,  ..   ,UK,Mozambique,Marropino,coltan
3,Coal  (Mt),"Operating, exp/feasib",  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,0.083,0.194,Australia,Mozambique,Minas,coal
4,Coal  (Mt),"Operating, exp/constr",  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,0.617,3.768,Brazil,Mozambique,Moatize,coal
8,Diamond carats  (Mct),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,0.99,  ..   ,UK,Namibia,Atlantic,Dia
10,Diamond carats  (Mct),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,0.09,0.07,0.05,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   , ---  ,  ..   ,UK,Namibia,Elizabeth,Dia
13,Copper  (kt),Suspended, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,5.5,6.6,4.6,4,2, ---  ,0.7,1.3, ---  ,  ..   ,  ..   ,  ..   ,South Africa,Namibia,Kombat/Asis,Cu
14,Lead  (kt),Suspended, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,Namibia,Kombat/Asis,Pb
15,Silver  (t),Suspended, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,10.46,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,Namibia,Kombat/Asis,Ag
16,Uranium oxide  (kt),"Operating, exp/constr", ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.36,1.08,1.43,1.67,1.69,  ..   ,Australia,Namibia,Langer,U
17,Copper  (kt),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,1,  ..   ,  ..   ,  ..   , ---  , ---  , ---  , ---  ,UK,Namibia,Matchless,Cu
18,Silver  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,UK,Namibia,Matchless,Ag
19,Diamond carats  (Mct),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,0.62,0.64,0.8,0.99,0.8,1,1,1.07,0.33,0.49,0.26,  ..   ,UK,Namibia,Mining,Dia
20,Diamond carats  (Mct),Operating, ---  , ---  , ---  , ---  , ---  , ---  ,  ..   ,  ..   ,0.1,0.26,0.22,0.09,0.24,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,UK,Namibia,Namco,Dia
22,Diamond carats  (Mct),Operating, ---  , ---  , ---  , ---  ,1.3,1.34,1.36,1.36,1.28,1.29,1.32, ---  , ---  , ---  , ---  , ---  ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,UK,Namibia,Namdeb,Dia
24,Diamond carats  (Mct),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,0.54,0.51,0.6,0.83,0.89,1.05,1.18,1.06,0.6,0.98,0.99,  ..   ,UK,Namibia,Namdeb,Dia
26,Gold  (t),Operating,1.45,1.71,1.87,1.79,2.188,1.893,2.015,2.302,1.854,2.008,2.399,2.694,2.653,2.299,2.07,2.51,2.69,2.496,2.126,2.014,2.683,2.063,2.302,South Africa,Namibia,Navachab,Au
30,Diamond carats  (Mct),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,0.03,0.06,  ..   ,0.1,0.13,0.11,  ..   ,  ..   ,0.02,0.06,0.08,  ..   ,UK,Namibia,Orange,Dia
31,Copper  (kt),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,6.9,11.2,10.2,10,8,10,4.9,5.4, ---  ,  ..   ,  ..   ,  ..   ,UK,Namibia,Otjihase,Cu
32,Gold  (t),Operating,0.2,0.14,0.16,0.15,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,0.122,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,UK,Namibia,Otjihase,Au
33,Silver  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,2.19,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,UK,Namibia,Otjihase,Ag
34,Manganese ore  (Mt),Operating, ---  , ---  , ---  , ---  ,0.03,0.1,0.09,0.04, ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.01,0.02,0.05,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,Namibia,Otjisondu,Mn
35,Lead  (kt),Operating,10,8.6,9.1,8.1,11.3,11.2,12.4,12.8,13.3,9.4,11.1,13,11.8,18.8,14.3,14.3,11.8,10.5,14.1,10.1,10.1,16,16,Switzerland,Namibia,Rosh,Pb
36,Silver  (t),Operating,26,25,11,12,21,13,12.4,4.97,5.97,9.67,11.66,31.97,23.57,26.96,25,25,25,25,25,25,25,25,25,Switzerland,Namibia,Rosh,Ag
37,Zinc  (kt),Operating,37.7,33.1,36.1,28.4,33.4,30.2,35.9,40.5,42.3,34.6,39.1,31.8,41,60.5,69,68.6,56.6,46.3,38.3,48.9,53.6,49,50,Switzerland,Namibia,Rosh,Zn
38,Uranium oxide  (kt),"Operating, exp/plans",3.79,3.4,1.99,1.97,2.24,2.38,2.89,3.43,3.26,3.17,3.2,2.64,2.75,2.4,3.58,3.71,3.62,3.05,4.07,4.15,3.63,2.15,2.7,UK,Namibia,Rössing,U
39,Zinc  (kt),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,47.4,119.2,132.8,129.9,150.1,145.4,150.4,138.5,143,142,UK,Namibia,Skorpion,Zn
46,Copper  (kt),Closed, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.2,3,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,UK,Namibia,Tsumeb,Cu
47,Lead  (kt),Closed, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,UK,Namibia,Tsumeb,Pb
48,Silver  (t),Closed, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,UK,Namibia,Tsumeb,Ag
49,Zinc  (kt),Closed, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,UK,Namibia,Tsumeb,Zn
1,Uranium oxide  (kt),Operating,2,1.8,2.32,2.2,2.2,2.2,2.49,2.52,2.6,2,2,2.25,2.36,2.36,2.36,2.1,2.2,2.06,2.06,1.69,1.55,1.91,  ..   ,France,Niger,Akouta,U
2,Uranium oxide  (kt),Operating,1.4,1.6,1.18,1.2,1.1,1.2,1.43,1.6,1.78,1.6,1.4,1.19,1.26,1.33,1.51,1.55,1.85,1.65,1.52,2.13,3.13,3.21,  ..   ,France,Niger,Arlit,U
3,Molybdenum  (kt),Active,0.01,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,  ..   ,  ..   ,France,Niger,Cie,Mo
4,Gold  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.684,3.005,1.48,2.47,2.17,1.7,1.596,1.325,1.549,Canada,Niger,Samira,Au
5,Tin  (kt),,0.1,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,Niger,Niger,Sté,Sn
10,Iron ore  (Mt),Operating,0.3,0.35,0.35,0.35,0.35,0.35,0.03, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,  ..   ,  ..   ,  ..   ,  ..   ,Nigeria,Nigeria,Itakpe,Fe
11,Tin  (kt),Active,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,Nigeria,Nigeria,Nigerian,Sn
12,Coal  (Mt),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,0.158,0.163,0.182,0.176,0.18,  ..   ,  ..   ,0.175,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,Niger,Nigeria,Tefereyre,coal
1,Tungsten  (kt),Active,0.15,0.15,0.15,0.15,0.15,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,Rwanda,Rwanda,Regie,W
1,Phosphate rock  (Mt),Active,1.9,2,2,1.5,1.5,1.5,1.4,1.4,1.4,1.5,1.4,1.4,1.4,1.4,1.5,1.5,0.5,0.6,0.7,0.7,0.7,0.7,  ..   ,Senegal,Senegal,Cie,PO43
2,Gold  (t),Suspended, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.007,0.038, ---  ,Australia,Senegal,Douta,Au
3,Gold  (t),"Operating, exp/feasib", ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,5.055,4.381,4.089,6.666,Canada,Senegal,Sabodala,Au
4,Phosphate rock  (Mt),Operating,0.4,0.3,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,France,Senegal,Thies,PO43
1,Iron ore  (Mt),"Operating, exp/plans", ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,  ..   ,  ..   ,  ..   ,UK,Sierra Leone,Marampa,Fe
4,Bauxite  (Mt),Active,1.45,1.28,1.26,1.12,0.7, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,  ..   ,  ..   ,  ..   ,  ..   ,Sierra Leone,Sierra Leone,Sierra,Al
5,Titanium  (kt),"Operating, exp/feasib",103,102,108,110,105,25,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,Switzerland,Sierra Leone,Sierra,Ti
6,Bauxite  (Mt),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,1.07,1.17,0.9,0.76,1.05,1.32,  ..   ,Netherlands,Sierra Leone,SML,Al
1,Diamond carats  (Mct),Closed,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,0.06,0.07,0.04, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,Swaziland,Dokolwayo,Dia
2,Coal  (Mt),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,0.394,0.313,0.4,0.557,0.683,0.272,0.432,0.413,0.28,0.13,0.146,0.15,  ..   ,Swaziland,Swaziland,Maloma,coal
1,Gold  (t),"Operating, exp/feasib", ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,7.514,11.083,9.753,10.9,9.67,10.3,7.56,6.22,7.74,8.083,8.15,7.365,Canada,Tanzania,Bulyanhulu,Au
2,Gold  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,5.88,5.786,6.113,5.177,Canada,Tanzania,Buzwagi,Au
3,Gold  (t),"Operating, exp/plans", ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,5.5,16.969,18.01,20.561,21.4,19.074,9.588,10.166,8.203,8.466,11.097,15.36,16.516,South Africa,Tanzania,Geita,Au
4,Gold  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.198,4.661,7.678,5.289,4.625,5.188,4.782,4.723,4.185,4.566,4.404,4.411,3.968,3.842,3.729,Australia,Tanzania,Golden,Au
5,Gold  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.179,UK,Tanzania,New,Au
6,Gold  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,1.5,6,6.485,7.788,11.6,7.37,6.13,6.59,6.623,5.313,6.019,Canada,Tanzania,North,Au
7,Gold  (t),Active,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,Tanzania,Tanzania,State,Au
8,Gold  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,2.7,4.35,3.89,4.6,2.9,1.5,1.955,1.379,Canada,Tanzania,Tulawaka,Au
9,Diamond carats  (Mct),Operating,  ..   ,0.1,0.07,0.04,0.02,0.02,0.12,0.12,0.09,0.23,0.32,0.19,0.15,0.17,0.29,0.19,0.19,0.22,0.13,0.09,0.1,0.03,  ..   ,South Africa,Tanzania,Williamson,Dia
1,Phosphate rock  (Mt),Active,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,Togo,Togo,Cie,PO43
2,Phosphate rock  (Mt),Active,2.3,3,2.1,1.8,2.1,2.6,2.7,2.6,2.3,1.7,1.4,1.1,1.3,1.5,1.1,1.4,1.7,0.8,0.8,0.7,0.9,0.8,  ..   ,Togo,Togo,Office,PO43
1,Tungsten  (kt),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   , ---  ,0.02,0.02,0,0.05, ---  , ---  , ---  ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,Uganda,Uganda,Bjordal,W
2,Copper  (kt),Active, ---  , ---  , ---  , ---  ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,Uganda,Uganda,Kilembe,Cu
1,Copper  (kt),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,12.2,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,24,24, ---  ,  ..   ,  ..   ,  ..   ,China,Zambia,Baluba,Cu
2,Copper  (kt),Closed,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,7,9.6,10,12.8,6.7, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,  ..   ,Canada,Zambia,Bwana,Cu
3,Copper  (kt),"Operating, exp/constr", ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,  ..   ,15,15,21.5,23,25,25,  ..   ,  ..   ,  ..   ,  ..   ,China,Zambia,Chambishi,Cu
4,Cobalt  (kt),Closed,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,0.12,0.1,0.05,  ..   ,  ..   , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,China,Zambia,Chibuluma,Co
5,Copper  (kt),Closed,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,7.4,8,8.5,8,8,5,1, ---  , ---  , ---  , ---  , ---  , ---  ,  ..   ,China,Zambia,Chibuluma,Cu
6,Copper  (kt),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,5,9.9,12.6,17,16.2,17.7,18,18,China,Zambia,Chibuluma,Cu
7,Gold  (t),"Susp, restart/constr", ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.065,0.19,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,Canada,Zambia,Dunrobin,Au
8,Copper  (kt),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,41.5,73.7,93.2,155,92,86.7,120,115,Canada,Zambia,Kansanshi,Cu
9,Copper  (kt),"Operating, exp/constr",  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,28.1,53.5,70.6,60,65.9,60,100,110,Canada,Zambia,Kansanshi,Cu
10,Gold  (t),"Operating, exp/constr", ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.444,0.956,1.3,1.7,3.108,3.409,3.43,4.232,Canada,Zambia,Kansanshi,Au
11,Copper  (kt),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,49.4,50.4,40,37,38,40,35,43.6,40,40,30,30,30,40,40,40,UK,Zambia,Konkola,Cu
12,Copper  (kt),"Susp, restart/plans",  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,11.9,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,UK,Zambia,Luanshya,Cu
13,Copper  (kt),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,2.5,Brazil,Zambia,Lubambe,Cu
14,Copper  (kt),"Operating, exp/feasib", ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,8,109.4,146,125,80.7,Canada,Zambia,Lumwana,Cu
15,Copper  (kt),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,  ..   ,  ..   ,  ..   ,10,15,20,20,15,15,15,15,Switzerland,Zambia,Mufulira,Cu
16,Copper  (kt),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,47.7,43.3,38,40,37.3,40,60,70,60,70,80,70,50,50,50,50,Switzerland,Zambia,Mufulira,Cu
23,Copper  (kt),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,61,54.9,56,70,76.9,72,50,90,67,54,41,62,60,60,50,60,UK,Zambia,Nchanga,Cu
24,Cobalt  (kt),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,3.6,5,3.8,2,3.27,4,4,4,3.5,3,2.5,2.5,2.5,2.5,  ..   ,  ..   ,UK,Zambia,Nchanga,Co
25,Copper  (kt),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,80.2,98,93,80,100,110,100,100,50,50,50,50,50,50,50,55,UK,Zambia,Nchanga,Cu
26,Cobalt  (kt),"Operating, exp/plans",  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,1.8,1.5,1.36,1.2,1.78,2,2,2,2,2,2,2,2,2,0.7,1,Switzerland,Zambia,Nkana,Co
27,Copper  (kt),"Operating, exp/plans",  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,41.9,47.6,41,39,45.8,55,80,80,60,60,80,70,50,50,50,50,Switzerland,Zambia,Nkana,Cu
32,Cobalt  (kt),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.6,0.04,0.04,  ..   ,  ..   ,Switzerland,Zambia,Sable,Co
33,Copper  (kt),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,11,4.9,4.1,  ..   ,  ..   ,Switzerland,Zambia,Sable,Cu
1,Gold  (t),Active,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,1.006,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,Zimbabwe,Zimbabwe,Aardcor,Au
2,Gold  (t),Operating,0.58,0.68,0.51,0.44,0.5,0.6,0.6,0.65,0.7,0.8,1.098,1.156,0.743,0.685,1.147,1.1,1,0.7,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,Zimbabwe,Arcturus,Au
3,Gold  (t),Suspended,0.33,0.51,0.46,0.44,0.3,0.4,0.45,0.45,0.2,0.05, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,South Africa,Zimbabwe,Athens,Au
