A,Metalmineral,Status,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Companycountry,country,shortname,metal
15,Cobalt  (kt),"Operating, exp/plans", ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.07,0.09,0.08,0.1,0.1,0.1,0.15,0.15,0.1,0.1,Russia,Botswana,Phoenix,Co
16,Copper  (kt),"Operating, exp/plans", ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,8.1,8.6,6.8,10.2,11,12,14,14.1,8.8,10.3,Russia,Botswana,Phoenix,Cu
17,Gold  (t),"Operating, exp/plans", ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.03,0.038,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,Russia,Botswana,Phoenix,Au
18,Nickel  (kt),"Operating, exp/plans", ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,11.5,11.4,11.6,13.7,15.1,17,19.6,14.2,9.3,12.2,Russia,Botswana,Phoenix,Ni
19,Palladium  (t),"Operating, exp/plans", ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,1.03,1.21,0.87,1.1,1.2,1.4,1.5,2.8,2.1,2.6,Russia,Botswana,Phoenix,PGM
20,Platinum  (t),"Operating, exp/plans", ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.17,0.21,0.16,0.2,  ..   ,  ..   ,  ..   ,0.56,0.37,0.44,Russia,Botswana,Phoenix,PGM
21,PGMs  (t),"Operating, exp/plans", ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,1.2,1.42,1.03,1.3,1.4,1.6,1.8,4.2,2.9,3.2,Russia,Botswana,Phoenix,PGM
22,Silver  (t),"Operating, exp/plans", ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.2,0.32,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,Russia,Botswana,Phoenix,Ag
23,Cobalt  (kt),Operating,0.21,0.21,0.21,0.21,0.23,0.27,0.41,0.35,0.35,0.33,0.21,0.3,0.3,0.21,0.14,0.25,0.2,0.2,0.2,0.1,0.1,0.1,0.1,Botswana,Botswana,Selebi-Phikwe,Co
24,Copper  (kt),Operating,20.6,20.6,20.4,20.1,22.8,19.1,21,18.4,19.4,18.2,16.3,17,17,16.1,12.6,10,10,7,7,10,13,  ..   ,  ..   ,Botswana,Botswana,Selebi-Phikwe,Cu
25,Nickel  (kt),Operating,19,19.3,18.9,21.6,17.5,15.3,17.5,15,15.6,15.8,13.4,16.1,16.4,15.9,10.8,16.5,13,6,6,10,12,  ..   ,  ..   ,Botswana,Botswana,Selebi-Phikwe,Ni
26,Cobalt  (kt),Active, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.04,0.03,0.04, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,Russia,Botswana,Tati,Co
27,Copper  (kt),Active, ---  , ---  , ---  , ---  , ---  , ---  ,2.5,2.5,2.5,2.6,2.4,2.2,4.6, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,Russia,Botswana,Tati,Cu
28,Gold  (t),Active, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.008,0.004,0.021, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,Russia,Botswana,Tati,Au
